"","Synthcode","Num_Essential","Total_ESTAB","Proportion_Essential"
"1","AGR_EXT",1135,1135,1
"2","CON",34871,34871,1
"3","EDU",0,6026,0
"4","ENT_art",0,5798,0
"5","ENT_food",33642,33858,0.993620414673046
"6","FIN",0,38582,0
"7","INF",346,7402,0.0467441232099433
"8","MED",33510,40779,0.82174648716251
"9","MFG",8003,8003,1
"10","PRF",1087,81538,0.013331207535137
"11","RET",28008,45451,0.616224065477107
"12","SRV",10538,40773,0.258455350354401
"13","TRN_UTL",9608,9691,0.991435352388814
"14","WHL",6450,12403,0.520035475288237
"15","ADM_MIL",0,0,0.42240297233519103
